# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     4.800         0         0        191728
     4.500         0         0        191730
     4.600         0         0        191739
     4.700         0         0        191743
     4.600         0         0        191744
     4.600         0         0        191745
     4.600         0         0        191748
     5.100         0         0        191749
     4.600         0         0        191751
     4.700         0         0        191753
     4.500         0         0        191755
     4.900         0         0        191757
     4.600         0         0        191758
     4.600         0         0        191765
     4.500         0         0        191770
     4.600         0         0        191776
     4.700         0         0        191777
     4.700         0         0        191778
     4.800         0         0        191780
     5.100         0         0        191782
     4.500         0         0        191787
     4.500         0         0        191794
     4.500         0         0        191798
     4.900         0         0        191799
     4.800         0         0        191801
     4.600         0         0        191802
     4.500         0         0        191804
     4.700         0         0        191810
     4.600         0         0        191821
     4.700         0         0        191822
     4.500         0         0        191823
     5.100         0         0        191828
     4.900         0         0        191833
     5.800         0         0        191838
     4.500         0         0        191841
     4.500         0         0        191843
     4.700         0         0        191845
     4.700         0         0        191847
     4.700         0         0        191848
     4.700         0         0        191852
     4.500         0         0        191863
     4.500         0         0        191869
     5.400         0         0        191870
     4.600         0         0        191871
     4.700         0         0        191874
     4.700         0         0        191875
     4.700         0         0        191879
     6.200         0         0        191880
     4.500         0         0        191881
     4.800         0         0        191882
     4.700         0         0        191885
     4.500         0         0        191886
     4.600         0         0        191887
     4.700         0         0        191891
     4.600         0         0        191892
     4.500         0         0        191899
     4.500         0         0        191900
     4.600         0         0        191901
     4.900         0         0        191905
     5.100         0         0        191906
     4.700         0         0        191907
     4.600         0         0        191909
     4.500         0         0        191912
     4.700         0         0        191915
     4.500         0         0        191917
     4.500         0         0        191918
     4.600         0         0        191921
     4.500         0         0        191923
     4.800         0         0        191925
     4.500         0         0        191935
     4.700         0         0        191936
     5.000         0         0        191937
     4.500         0         0        191939
     4.700         0         0        191940
     5.100         0         0        191941
     4.600         0         0        191943
     4.800         0         0        191944
     5.100         0         0        191946
     5.700         0         0        191947
     4.600         0         0        191949
     4.800         0         0        191950
     4.800         0         0        191962
     4.800         0         0        191964
     4.800         0         0        191968
     4.600         0         0        191982
     4.800         0         0        191983
     4.900         0         0        191984
     4.600         0         0        191986
     5.000         0         0        191993
     4.900         0         0        191995
     5.800         0         0        191998
     4.600         0         0        192001
     4.500         0         0        192005
     4.700         0         0        192008
     4.700         0         0        192011
     4.800         0         0        192012
     5.500         0         0        192013
     4.600         0         0        192016
     4.600         0         0        192019
     4.700         0         0        192021
     4.600         0         0        192022
     4.500         0         0        192025
     4.700         0         0        192030
     4.600         0         0        192032
     4.700         0         0        192035
     4.600         0         0        192037
     4.900         0         0        192038
     4.700         0         0        192039
     4.500         0         0        192040
     4.600         0         0        192041
     4.700         0         0        192042
     4.500         0         0        192044
     4.500         0         0        192049
     4.600         0         0        192051
     4.600         0         0        192057
     5.000         0         0        192060
     4.500         0         0        192063
     4.700         0         0        192064
     4.800         0         0        192065
     4.600         0         0        192066
     4.600         0         0        192067
     4.800         0         0        192068
     5.000         0         0        192075
     4.500         0         0        192086
     4.900         0         0        192087
     4.600         0         0        192088
     4.500         0         0        192093
     4.600         0         0        192094
     4.700         0         0        192095
     4.600         0         0        192097
     4.900         0         0        192098
     4.600         0         0        192101
     4.500         0         0        192106
     4.700         0         0        192107
     4.500         0         0        192113
     4.700         0         0        192115
     4.600         0         0        192117
     4.500         0         0        192119
     5.000         0         0        192126
     4.500         0         0        192127
     5.000         0         0        192128
     6.200         0         0        192133
     4.700         0         0        192137
     5.600         0         0        192140
     4.600         0         0        192141
     4.600         0         0        192142
     4.700         0         0        192147
     4.600         0         0        192149
     4.700         0         0        192152
     5.200         0         0        192154
     5.000         0         0        192155
     4.500         0         0        192163
     4.800         0         0        192166
     5.900         0         0        192170
     4.600         0         0        192171
     4.500         0         0        192172
     4.500         0         0        192174
     4.900         0         0        192175
     4.500         0         0        192176
     4.700         0         0        192179
     4.600         0         0        192180
     4.700         0         0        192185
     4.900         0         0        192186
     4.600         0         0        192189
     4.900         0         0        192190
     5.000         0         0        192192
     4.600         0         0        192204
     5.100         0         0        192207
     4.900         0         0        192208
     5.100         0         0        192218
     4.700         0         0        192219
     4.600         0         0        192224
     4.900         0         0        192229
     5.000         0         0        192239
     4.500         0         0        192241
     4.600         0         0        192242
     4.600         0         0        192243
     4.600         0         0        192244
     4.700         0         0        192259
     5.000         0         0        192267
     5.000         0         0        192268
     5.000         0         0        192271
     4.800         0         0        192272
     4.500         0         0        192273
     4.500         0         0        192277
     5.500         0         0        192278
     4.500         0         0        192281
     4.600         0         0        192283
     4.600         0         0        192286
     4.500         0         0        192288
     4.800         0         0        192289
     4.900         0         0        192292
     4.700         0         0        192297
     4.900         0         0        192308
     4.600         0         0        192309
     4.800         0         0        192314
     5.200         0         0        192315
     4.600         0         0        192318
     4.700         0         0        192323
     4.600         0         0        192325
     4.600         0         0        192332
     4.500         0         0        192335
     4.900         0         0        192341
     4.500         0         0        192342
     4.700         0         0        192346
     4.700         0         0        192349
     4.600         0         0        192350
     4.500         0         0        192353
     4.600         0         0        192354
     4.800         0         0        192358
     4.600         0         0        192361
     4.600         0         0        192365
     4.700         0         0        192367
     4.500         0         0        192369
     4.700         0         0        192370
     4.700         0         0        192373
     4.800         0         0        192374
     4.600         0         0        192375
     4.500         0         0        192379
     4.700         0         0        192382
     4.500         0         0        192386
     5.100         0         0        192387
     4.500         0         0        192392
     4.500         0         0        192396
     4.700         0         0        192397
     4.500         0         0        192398
     4.500         0         0        192404
     4.500         0         0        192406
     4.600         0         0        192407
     5.000         0         0        192411
     5.400         0         0        192412
     4.700         0         0        192414
     4.700         0         0        192415
     4.500         0         0        192417
     4.500         0         0        192418
     4.500         0         0        192420
     4.500         0         0        192421
     4.600         0         0        192426
     4.700         0         0        192432
     4.600         0         0        192434
     4.700         0         0        192437
     5.000         0         0        192445
     5.200         0         0        192449
     4.700         0         0        192450
     5.200         0         0        192451
     4.700         0         0        192453
     4.700         0         0        192454
     4.800         0         0        192457
     4.700         0         0        192458
     4.500         0         0        192462
     4.800         0         0        192463
     4.800         0         0        192470
     4.800         0         0        192478
     4.700         0         0        192484
     4.600         0         0        192487
     4.600         0         0        192490
     5.700         0         0        192492
     4.600         0         0        192493
     4.600         0         0        192494
     4.800         0         0        192495
     4.500         0         0        192501
     4.700         0         0        192502
     4.500         0         0        192505
     4.800         0         0        192506
     4.800         0         0        192507
     4.600         0         0        192508
